date,total_renewable_energy_consumption,crude_oil_domestic_first_purchase_price,coal_consumption,total_energy_co2_emissions
2/1/1978,391.866,8.86,45488.034,430.266
3/1/1978,433.459,8.8,43287.532,422.298
4/1/1978,434.379,8.82,46283.566,376.535
5/1/1978,475.883,8.81,49416.423,385.68
6/1/1978,432.628,9.05,52795.014,374.963
7/1/1978,431.461,8.96,56200.329,386.45
8/1/1978,408.417,9.05,58055.96,399.67
9/1/1978,392.287,9.15,55024.081,374.428
10/1/1978,379.436,9.17,53002.851,393.061
11/1/1978,379.078,9.2,53155.041,410.36
12/1/1978,407.564,9.47,58203.35,460.609
1/1/1979,447.796,9.46,61198.502,494.61
2/1/1979,390.487,9.69,54463.492,454.419
3/1/1979,457.799,9.83,54864.257,435.909
4/1/1979,445.932,10.33,51601.296,383.215
5/1/1979,489.08,10.71,54025.803,387.9
6/1/1979,441.683,11.7,56025.087,378.382
7/1/1979,424.513,13.39,60397.408,385.896
8/1/1979,409.21,14,60750.13,398.588
9/1/1979,378.903,14.57,54219.414,370.657
10/1/1979,397.602,15.06,55719.038,399.951
11/1/1979,414.74,15.52,55996.923,408.19
12/1/1979,425.109,17,61262.898,452.131
1/1/1980,478.943,17.86,63518.541,463.846
2/1/1980,424.298,18.86,59678.382,438.273
3/1/1980,469.134,19.33,58851.915,427.793
4/1/1980,477.356,20.28,52635.272,373.654
5/1/1980,517.456,21.05,52833.635,361.096
6/1/1980,497.768,21.52,56097.609,355.276
7/1/1980,471.331,22.31,63122.139,376.494
8/1/1980,429.358,22.62,62751.874,371.735
9/1/1980,401.712,22.59,57306.317,363.255
10/1/1980,402.564,23.23,55775.124,382.006
11/1/1980,409.876,23.99,56798.927,391.412
12/1/1980,448.546,25.83,63359,451.282
1/1/1981,462.381,28.81,67580.052,470.139
2/1/1981,427.043,34.3,59734.769,396.738
3/1/1981,443.808,34.59,60069.199,401.675
4/1/1981,438.02,33.92,54649.223,356.392
5/1/1981,480.423,32.73,55025.481,357.33
6/1/1981,496.995,31.68,59684.734,363.174
7/1/1981,491.304,31.1,67394.25,380.573
8/1/1981,454.028,31.1,65895.822,372.829
9/1/1981,407.22,31.1,59720.63,356.176
10/1/1981,416.966,30.98,59161.454,375.812
11/1/1981,418.476,30.97,58694.803,374.12
12/1/1981,477.024,30.8,65017.416,431.456
1/1/1982,514.44,30.86,68692.483,453.138
2/1/1982,489.624,29.75,59745.588,393.919
3/1/1982,544.724,28.3,58236.142,393.056
4/1/1982,517.128,27.65,53274.175,363.779
5/1/1982,525.795,27.67,54843.623,337.326
6/1/1982,518.974,28.11,55949.139,332.924
7/1/1982,519.267,28.35,63827.555,351.736
8/1/1982,483.203,28.18,63527.954,353.113
9/1/1982,433.748,27.96,56734.354,334.095
10/1/1982,439.874,28.75,55033.85,343.768
11/1/1982,469.93,28.69,56830.988,359.2
12/1/1982,522.93,28.04,60213.793,388.392
1/1/1983,562.279,27.22,63018.495,410.977
2/1/1983,523.276,26.41,54692.366,359.932
3/1/1983,572.853,26.08,55433.54,381.898
4/1/1983,561.458,25.85,52815.608,347.691
5/1/1983,581.741,26.08,54327.79,336.789
6/1/1983,569.493,25.98,58236.923,337.938
7/1/1983,550.993,25.86,69478.025,361.486
8/1/1983,528.288,26.03,72946.735,375.342
9/1/1983,476.173,26.08,63316.246,346.636
10/1/1983,474.251,26.04,60454.06,346.226
11/1/1983,507.035,26.09,61411.201,359.891
