date,total_renewable_energy_consumption,crude_oil_domestic_first_purchase_price,coal_consumption,total_energy_co2_emissions
2/1/2021,867.479,56.44,51520.742,420.494
3/1/2021,1084.536,60.43,38330.784,400.734
4/1/2021,1044.185,59.87,33633.784,368.847
5/1/2021,1104.371,62.8,39281.849,377.301
6/1/2021,1027.711,68.58,51589.707,404.771
7/1/2021,988.428,70.12,60022.263,431.676
8/1/2021,1009.159,65.68,59903.694,437.82
9/1/2021,962.218,69.09,47960.25,389.541
10/1/2021,997.633,78.51,39435.283,389.016
11/1/2021,1019.886,76.45,36623.472,403.915
12/1/2021,1091.346,70.56,38367.696,429.566
1/1/2022,1092.94,80.33,52357.441,477.971
2/1/2022,1045.676,89.41,43430.378,422.148
3/1/2022,1188.372,107.07,37946.865,418.479
4/1/2022,1164.04,103.32,34267.185,374.922
5/1/2022,1199.383,108.29,38500.672,382.167
6/1/2022,1170.519,113.77,45133.892,397.605
7/1/2022,1111.161,100.84,52853.946,427.342
8/1/2022,1036.589,93.76,51704.438,429.624
9/1/2022,960.694,84.62,40627.002,387.495
10/1/2022,1006.859,86.61,34957.312,385.423
11/1/2022,1076.469,84.43,35746.966,407.57
12/1/2022,1068.297,76.45,45111.736,453.429
